File Name,Date,Particulars,Vch Type,Vch No.,Debit,Credit
CLOUDTAIL INDIA PVT LTD.pdf,30-Nov-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
255.92 Dr
CGST
23.03 Dr
SGST
23.03 Dr",221,301.98,
CLOUDTAIL INDIA PVT LTD.pdf,2-Jan-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
241.52 Dr
CGST
21.74 Dr
SGST
21.74 Dr",223,241.52,
CLOUDTAIL INDIA PVT LTD.pdf,28-Jan-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1778.82 Dr
CGST
160.09 Dr
SGST
160.09 Dr",224,1778.82,
CLOUDTAIL INDIA PVT LTD.pdf,15-Mar-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
152.54 Dr
CGST
13.73 Dr
SGST
13.73 Dr",225,152.54,
MAYA HARDWARE & ELECTRICALS.pdf,28-Nov-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1525.42 Dr
CGST
137.29 Dr
SGST
137.29 Dr",259,1525.42,
M MAHBOOB PASHA.pdf,10-Jul-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
19100.00 Dr
CGST
1719.00 Dr
SGST
1719.00 Dr",301,22538.00,
KAY KAY DELIGHT HOSPITALITY.pdf,18-Sep-19,"(as per details)
PURCHASES
CGST
SGST
BEING PURCHASES MADE VIDE INVOICE
NO HOT/","PURCHASES
2923.82 Dr
CGST
148.09 Dr
SGST
148.09 Dr",10,2923.82,
INVENTIVA LABS PRIVATE LIMITED.pdf,9-Aug-19,"(as per details)
PURCHASES
IGST","PURCHASES
1143.22 Dr
IGST
205.78 Dr",49,1143.22,
SPICEJET LIMITED.pdf,2-Apr-19,"(as per details)
PURCHASES
IGST","PURCHASES
2220.00 Dr
IGST
111.00 Dr",330,2220.00,
FAZAL ENTERPRISES.pdf,13-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
2161.02 Dr
CGST
194.49 Dr
SGST
194.49 Dr",78,2161.02,
FAZAL ENTERPRISES.pdf,2-Aug-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
2161.02 Dr
CGST
194.49 Dr
SGST
194.49 Dr",79,2161.02,
FAZAL ENTERPRISES.pdf,5-Oct-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
237.28 Dr
CGST
21.36 Dr
SGST
21.36 Dr",80,237.28,
PROTAIL.pdf,15-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
25254.24 Dr
CGST
2272.88 Dr
SGST
2272.88 Dr",240,29800.00,
GATI EXPRESS & SUPPLY CHAIN PRIVATE LIMITED.pdf,15-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1211.11 Dr
CGST
109.00 Dr
SGST
109.00 Dr",147,1429.11,
DEIN KLEIDER.pdf,24-Oct-19,"(as per details)
PURCHASES
IGST
BEING PURCHASES MADE VIDE INVOICE
NO SDED-","PURCHASES
359.37 Dr
IGST
64.69 Dr",2138,424.06,
SAIF TOOLS SYNDICATE.pdf,23-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
3400.00 Dr
CGST
306.00 Dr
SGST
306.00 Dr",234,3400.00,
SAIF TOOLS SYNDICATE.pdf,20-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
430.00 Dr
CGST
38.70 Dr
SGST
38.70 Dr",235,507.40,
SAIF TOOLS SYNDICATE.pdf,11-Oct-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
500.00 Dr
CGST
45.00 Dr
SGST
45.00 Dr",236,500.00,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,24-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
3229.44 Dr
CGST
290.65 Dr
SGST
290.65 Dr",148,3810.74,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,20-Jun-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
5085.30 Dr
CGST
457.68 Dr
SGST
457.68 Dr",149,6000.66,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,3-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
2461.80 Dr
CGST
221.57 Dr
SGST
221.57 Dr",150,2904.94,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,7-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
607.20 Dr
CGST
54.65 Dr
SGST
54.65 Dr",151,716.50,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,13-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1702.80 Dr
CGST
153.26 Dr
SGST
153.26 Dr",152,2009.32,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,26-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1125.30 Dr
CGST
101.28 Dr
SGST
101.28 Dr",153,1327.86,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,23-Oct-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
3346.20 Dr
CGST
301.15 Dr
SGST
301.15 Dr",154,3948.50,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,26-Oct-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
290.40 Dr
CGST
26.14 Dr
SGST
26.14 Dr",155,342.68,
V.S.KHANOLKAR PRIVATE LIMITED.pdf,5-Nov-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1716.00 Dr
CGST
154.44 Dr
SGST
154.44 Dr",156,2024.88,
